divkFa,Nup,Ndown,x,scaled_E,corr_method,lsite
0.0,57,33,0.5789473684210527,0.8007289984099639,Chevy-CCD,10
0.0,57,33,0.5789473684210527,0.807069931176855,Chevy-CCD,12
0.0,27,19,0.7037037037037037,0.8385191299220229,Chevy-CCD,6
0.0,27,19,0.7037037037037037,0.8503001233637475,Chevy-CCD,8
0.0,27,19,0.7037037037037037,0.8549254194133009,Chevy-CCD,10
0.0,57,7,0.12280701754385964,0.9076039220091554,Chevy-CID,6
0.0,57,7,0.12280701754385964,0.9193419152978284,Chevy-CID,8
0.0,57,7,0.12280701754385964,0.9268729729897364,Chevy-CID,10
0.0,33,7,0.21212121212121213,0.8781201838737983,Chevy-CID,6
0.0,33,7,0.21212121212121213,0.8955090396021712,Chevy-CID,8
0.0,33,7,0.21212121212121213,0.9061190250375871,Chevy-CID,10
0.0,27,7,0.25925925925925924,0.8709047249702447,Chevy-CID,6
0.0,27,7,0.25925925925925924,0.8906211877471096,Chevy-CID,8
0.0,27,7,0.25925925925925924,0.9025047455603211,Chevy-CID,10
0.0,57,19,0.3333333333333333,0.8546692887059341,Chevy-CID,6
0.0,57,19,0.3333333333333333,0.8948708322101394,Chevy-CID,8
0.0,19,7,0.3684210526315789,0.8701719354933368,Chevy-CID,6
0.0,19,7,0.3684210526315789,0.8946574025323681,Chevy-CID,8
0.0,19,7,0.3684210526315789,0.9093343053913006,Chevy-CID,10
0.0,57,27,0.47368421052631576,0.866657761206203,Chevy-CID,6
0.0,57,27,0.47368421052631576,0.9266984312925493,Chevy-CID,8
0.0,33,19,0.5757575757575758,0.9215319593677683,Chevy-CID,6
0.0,33,19,0.5757575757575758,0.9791260723100188,Chevy-CID,8
0.0,33,19,0.5757575757575758,1.0139665071847195,Chevy-CID,10
0.0,27,19,0.7037037037037037,0.9953059141976406,Chevy-CID,6
0.0,27,19,0.7037037037037037,1.0606069202647184,Chevy-CID,8
0.0,27,19,0.7037037037037037,1.0997199724165636,Chevy-CID,10
0.0,33,27,0.8181818181818182,1.065387334732466,Chevy-CID,6
0.0,33,27,0.8181818181818182,1.1505509093510802,Chevy-CID,8
0.0,57,7,0.12280701754385964,0.8417825762887299,ppRPA,6
0.0,57,7,0.12280701754385964,0.8295188475115668,ppRPA,8
0.0,27,7,0.25925925925925924,0.7242509342994017,ppRPA,6
0.0,27,7,0.25925925925925924,0.6983733637799381,ppRPA,8
0.0,27,7,0.25925925925925924,0.6740910567732245,ppRPA,10
0.0,27,7,0.25925925925925924,0.6495078533972584,ppRPA,12
0.2,57,7,0.12280701754385964,0.8379718613294509,Chevy-CCD,6
0.2,57,7,0.12280701754385964,0.846463176044139,Chevy-CCD,8
0.2,57,7,0.12280701754385964,0.8522561440624876,Chevy-CCD,10
0.2,57,7,0.12280701754385964,0.8558048972529658,Chevy-CCD,12
0.2,33,7,0.21212121212121213,0.7603616704432578,Chevy-CCD,6
0.2,33,7,0.21212121212121213,0.7729149264125469,Chevy-CCD,8
0.2,33,7,0.21212121212121213,0.779801604877776,Chevy-CCD,10
0.2,33,7,0.21212121212121213,0.7839426798597114,Chevy-CCD,12
0.2,27,7,0.25925925925925924,0.7310524794904644,Chevy-CCD,6
0.2,27,7,0.25925925925925924,0.7441198407511631,Chevy-CCD,8
0.2,27,7,0.25925925925925924,0.7510634503036046,Chevy-CCD,10
0.2,27,7,0.25925925925925924,0.7553330280195675,Chevy-CCD,12
0.2,57,19,0.3333333333333333,0.6551862483248674,Chevy-CCD,6
0.2,57,19,0.3333333333333333,0.676399276408022,Chevy-CCD,8
